date,avg_temp,min_temp,max_temp,humidity_percentage
2024-10-16,23.223333333333333,21.86,24.38,76.33333333333333
2024-10-17,19.81125,16.91,22.27,73.5
2024-10-18,17.045,16.56,17.73,67.625
2024-10-19,17.5275,15.53,19.6,65.875
2024-10-20,19.26125,16.66,21.95,56.5
2024-10-21,19.748,18.7,21.19,61.2
